Unnamed: 0,original_path,id,label,label_str,path
40000,/kaggle/input/flickrfaceshq-dataset-nvidia-part-8/images1024x1024-20191222T221133Z-037/images1024x1024/60000/60389.png,60389,1,real,train/real/60389.jpg
40000,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_02/PEWD2RB9LS.jpg,PEWD2RB9LS,0,fake,train/fake/PEWD2RB9LS.jpg
40001,/kaggle/input/flickrfaceshq-dataset-nvidia-part-2/images1024x1024-20191222T221133Z-008/images1024x1024/30000/30928.png,30928,1,real,train/real/30928.jpg
40001,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/QFI1O9S1AN.jpg,QFI1O9S1AN,0,fake,train/fake/QFI1O9S1AN.jpg
40002,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-003/images1024x1024/47000/47870.png,47870,1,real,train/real/47870.jpg
40002,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_02/MEWS0V4M9X.jpg,MEWS0V4M9X,0,fake,train/fake/MEWS0V4M9X.jpg
40003,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-043/images1024x1024/05000/05544.png,05544,1,real,train/real/05544.jpg
40003,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_04/ITR6XEXL5V.jpg,ITR6XEXL5V,0,fake,train/fake/ITR6XEXL5V.jpg
40004,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-004/images1024x1024/64000/64652.png,64652,1,real,train/real/64652.jpg
40004,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_01/Q889M5F8GD.jpg,Q889M5F8GD,0,fake,train/fake/Q889M5F8GD.jpg
40005,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-026/images1024x1024/22000/22089.png,22089,1,real,train/real/22089.jpg
40005,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_00/1NJ0NJJTD7.jpg,1NJ0NJJTD7,0,fake,train/fake/1NJ0NJJTD7.jpg
40006,/kaggle/input/flickrfaceshq-dataset-nvidia-part-3/images1024x1024-20191222T221133Z-013/images1024x1024/36000/36578.png,36578,1,real,train/real/36578.jpg
40006,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_11/8G35LB2G1A.jpg,8G35LB2G1A,0,fake,train/fake/8G35LB2G1A.jpg
40007,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-042/images1024x1024/07000/07354.png,07354,1,real,train/real/07354.jpg
40007,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_11/HPAQALE1UI.jpg,HPAQALE1UI,0,fake,train/fake/HPAQALE1UI.jpg
40008,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-005/images1024x1024/04000/04942.png,04942,1,real,train/real/04942.jpg
40008,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_03/K3DTWNQM7Z.jpg,K3DTWNQM7Z,0,fake,train/fake/K3DTWNQM7Z.jpg
40009,/kaggle/input/flickrfaceshq-dataset-nvidia-part-4/images1024x1024-20191222T221133Z-018/images1024x1024/37000/37600.png,37600,1,real,train/real/37600.jpg
40009,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/KLHVUWJGI1.jpg,KLHVUWJGI1,0,fake,train/fake/KLHVUWJGI1.jpg
40010,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-041/images1024x1024/05000/05791.png,05791,1,real,train/real/05791.jpg
40010,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/1XXNM7F534.jpg,1XXNM7F534,0,fake,train/fake/1XXNM7F534.jpg
40011,/kaggle/input/flickrfaceshq-dataset-nvidia-part-2/images1024x1024-20191222T221133Z-006/images1024x1024/45000/45470.png,45470,1,real,train/real/45470.jpg
40011,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_14/IWW8XGAFIG.jpg,IWW8XGAFIG,0,fake,train/fake/IWW8XGAFIG.jpg
40012,/kaggle/input/flickrfaceshq-dataset-nvidia-part-2/images1024x1024-20191222T221133Z-006/images1024x1024/28000/28814.png,28814,1,real,train/real/28814.jpg
40012,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/ODMUQKT3UV.jpg,ODMUQKT3UV,0,fake,train/fake/ODMUQKT3UV.jpg
40013,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-045/images1024x1024/11000/11885.png,11885,1,real,train/real/11885.jpg
40013,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_13/0WWGO5VE77.jpg,0WWGO5VE77,0,fake,train/fake/0WWGO5VE77.jpg
40014,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-004/images1024x1024/44000/44938.png,44938,1,real,train/real/44938.jpg
40014,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_05/LT1OA4N405.jpg,LT1OA4N405,0,fake,train/fake/LT1OA4N405.jpg
40015,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-030/images1024x1024/27000/27184.png,27184,1,real,train/real/27184.jpg
40015,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/EJONF21K0K.jpg,EJONF21K0K,0,fake,train/fake/EJONF21K0K.jpg
40016,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-026/images1024x1024/45000/45383.png,45383,1,real,train/real/45383.jpg
40016,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_13/YJ4GNJ750S.jpg,YJ4GNJ750S,0,fake,train/fake/YJ4GNJ750S.jpg
40017,/kaggle/input/flickrfaceshq-dataset-nvidia-part-2/images1024x1024-20191222T221133Z-010/images1024x1024/16000/16931.png,16931,1,real,train/real/16931.jpg
40017,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_12/SUQFX7EW5J.jpg,SUQFX7EW5J,0,fake,train/fake/SUQFX7EW5J.jpg
40018,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-002/images1024x1024/67000/67837.png,67837,1,real,train/real/67837.jpg
40018,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_14/225YY29UDV.jpg,225YY29UDV,0,fake,train/fake/225YY29UDV.jpg
40019,/kaggle/input/flickrfaceshq-dataset-nvidia-part-8/images1024x1024-20191222T221133Z-039/images1024x1024/64000/64219.png,64219,1,real,train/real/64219.jpg
40019,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/SVO5JRAXA1.jpg,SVO5JRAXA1,0,fake,train/fake/SVO5JRAXA1.jpg
40020,/kaggle/input/flickrfaceshq-dataset-nvidia-part-8/images1024x1024-20191222T221133Z-036/images1024x1024/68000/68398.png,68398,1,real,train/real/68398.jpg
40020,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_00/98UDBDINQ2.jpg,98UDBDINQ2,0,fake,train/fake/98UDBDINQ2.jpg
40021,/kaggle/input/flickrfaceshq-dataset-nvidia-part-7/images1024x1024-20191222T221133Z-034/images1024x1024/34000/34274.png,34274,1,real,train/real/34274.jpg
40021,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/EV13VZI3C9.jpg,EV13VZI3C9,0,fake,train/fake/EV13VZI3C9.jpg
40022,/kaggle/input/flickrfaceshq-dataset-nvidia-part-7/images1024x1024-20191222T221133Z-033/images1024x1024/01000/01882.png,01882,1,real,train/real/01882.jpg
