Unnamed: 0,original_path,id,label,label_str,path
10000,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-026/images1024x1024/16000/16194.png,16194,1,real,train/real/16194.jpg
10000,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_12/O6954ZV65F.jpg,O6954ZV65F,0,fake,train/fake/O6954ZV65F.jpg
10001,/kaggle/input/flickrfaceshq-dataset-nvidia-part-4/images1024x1024-20191222T221133Z-020/images1024x1024/28000/28291.png,28291,1,real,train/real/28291.jpg
10001,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_14/8QGMBXHPPD.jpg,8QGMBXHPPD,0,fake,train/fake/8QGMBXHPPD.jpg
10002,/kaggle/input/flickrfaceshq-dataset-nvidia-part-5/images1024x1024-20191222T221133Z-024/images1024x1024/02000/02240.png,02240,1,real,train/real/02240.jpg
10002,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/ZISM7JK0CZ.jpg,ZISM7JK0CZ,0,fake,train/fake/ZISM7JK0CZ.jpg
10003,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-026/images1024x1024/33000/33177.png,33177,1,real,train/real/33177.jpg
10003,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_04/0D2S9YU1BH.jpg,0D2S9YU1BH,0,fake,train/fake/0D2S9YU1BH.jpg
10004,/kaggle/input/flickrfaceshq-dataset-nvidia-part-5/images1024x1024-20191222T221133Z-024/images1024x1024/02000/02113.png,02113,1,real,train/real/02113.jpg
10004,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_07/VIX2U285BM.jpg,VIX2U285BM,0,fake,train/fake/VIX2U285BM.jpg
10005,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-029/images1024x1024/10000/10691.png,10691,1,real,train/real/10691.jpg
10005,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/LTAVW7H220.jpg,LTAVW7H220,0,fake,train/fake/LTAVW7H220.jpg
10006,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-043/images1024x1024/67000/67133.png,67133,1,real,train/real/67133.jpg
10006,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_02/WDD61L7BEV.jpg,WDD61L7BEV,0,fake,train/fake/WDD61L7BEV.jpg
10007,/kaggle/input/flickrfaceshq-dataset-nvidia-part-4/images1024x1024-20191222T221133Z-019/images1024x1024/67000/67435.png,67435,1,real,train/real/67435.jpg
10007,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_04/4D2R5CWFNU.jpg,4D2R5CWFNU,0,fake,train/fake/4D2R5CWFNU.jpg
10008,/kaggle/input/flickrfaceshq-dataset-nvidia-part-5/images1024x1024-20191222T221133Z-022/images1024x1024/57000/57294.png,57294,1,real,train/real/57294.jpg
10008,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_02/W5C9B9G70J.jpg,W5C9B9G70J,0,fake,train/fake/W5C9B9G70J.jpg
10009,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-003/images1024x1024/54000/54832.png,54832,1,real,train/real/54832.jpg
10009,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_03/D5I5DO827I.jpg,D5I5DO827I,0,fake,train/fake/D5I5DO827I.jpg
10010,/kaggle/input/flickrfaceshq-dataset-nvidia-part-5/images1024x1024-20191222T221133Z-025/images1024x1024/22000/22452.png,22452,1,real,train/real/22452.jpg
10010,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/59C0XCTXPU.jpg,59C0XCTXPU,0,fake,train/fake/59C0XCTXPU.jpg
10011,/kaggle/input/flickrfaceshq-dataset-nvidia-part-2/images1024x1024-20191222T221133Z-006/images1024x1024/45000/45495.png,45495,1,real,train/real/45495.jpg
10011,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_00/ROS4VGILBS.jpg,ROS4VGILBS,0,fake,train/fake/ROS4VGILBS.jpg
10012,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-002/images1024x1024/59000/59842.png,59842,1,real,train/real/59842.jpg
10012,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_06/0JEE6HSIOB.jpg,0JEE6HSIOB,0,fake,train/fake/0JEE6HSIOB.jpg
10013,/kaggle/input/flickrfaceshq-dataset-nvidia-part-7/images1024x1024-20191222T221133Z-034/images1024x1024/34000/34476.png,34476,1,real,train/real/34476.jpg
10013,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_06/5YRHKNJZ5F.jpg,5YRHKNJZ5F,0,fake,train/fake/5YRHKNJZ5F.jpg
10014,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-004/images1024x1024/64000/64925.png,64925,1,real,train/real/64925.jpg
10014,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_01/T0MHOTDTRK.jpg,T0MHOTDTRK,0,fake,train/fake/T0MHOTDTRK.jpg
10015,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-043/images1024x1024/21000/21014.png,21014,1,real,train/real/21014.jpg
10015,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_01/HUO4KTOU4Y.jpg,HUO4KTOU4Y,0,fake,train/fake/HUO4KTOU4Y.jpg
10016,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-002/images1024x1024/52000/52863.png,52863,1,real,train/real/52863.jpg
10016,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_00/BHDV5SAN0H.jpg,BHDV5SAN0H,0,fake,train/fake/BHDV5SAN0H.jpg
10017,/kaggle/input/flickrfaceshq-dataset-nvidia-part-1/images1024x1024-20191222T221133Z-002/images1024x1024/59000/59848.png,59848,1,real,train/real/59848.jpg
10017,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_12/CLFGUAU6PC.jpg,CLFGUAU6PC,0,fake,train/fake/CLFGUAU6PC.jpg
10018,/kaggle/input/flickrfaceshq-dataset-nvidia-part-7/images1024x1024-20191222T221133Z-032/images1024x1024/31000/31693.png,31693,1,real,train/real/31693.jpg
10018,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_04/JH9L8UZPBM.jpg,JH9L8UZPBM,0,fake,train/fake/JH9L8UZPBM.jpg
10019,/kaggle/input/flickrfaceshq-dataset-nvidia-part-6/images1024x1024-20191222T221133Z-028/images1024x1024/50000/50090.png,50090,1,real,train/real/50090.jpg
10019,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_01/9EJH5PS1CH.jpg,9EJH5PS1CH,0,fake,train/fake/9EJH5PS1CH.jpg
10020,/kaggle/input/flickrfaceshq-dataset-nvidia-part-8/images1024x1024-20191222T221133Z-036/images1024x1024/25000/25508.png,25508,1,real,train/real/25508.jpg
10020,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_05/9Q3ZRW3ODZ.jpg,9Q3ZRW3ODZ,0,fake,train/fake/9Q3ZRW3ODZ.jpg
10021,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-043/images1024x1024/42000/42364.png,42364,1,real,train/real/42364.jpg
10021,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/DOIP313X3V.jpg,DOIP313X3V,0,fake,train/fake/DOIP313X3V.jpg
10022,/kaggle/input/flickrfaceshq-dataset-nvidia-part-9/images1024x1024-20191222T221133Z-041/images1024x1024/23000/23519.png,23519,1,real,train/real/23519.jpg
10022,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_09/YHM94NC33Y.jpg,YHM94NC33Y,0,fake,train/fake/YHM94NC33Y.jpg
